ID,Name,Description
1,Front Office,"Manages guest services, reservations, and front desk operations"
2,Housekeeping,"Responsible for room cleaning and maintenance"
3,Food and Beverage,"Manages restaurants, bars, and room service"
4,Sales and Marketing,"Handles promotions, partnerships, and business development"
5,Human Resources,"Manages recruitment, training, and employee relations"
6,Finance,"Handles accounting, budgeting, and financial reporting"
7,Maintenance,"Responsible for property upkeep and repairs"
8,Security,"Ensures guest safety and property security"
9,Events and Catering,"Manages conferences, weddings, and special events"
10,Spa and Wellness,"Operates spa, fitness center, and wellness programs"
