name,description,price_per_night,capacity
Standard King,Comfortable room with king bed and basic amenities,150,2
Standard Twin,Room with two twin beds, 140,2
Deluxe King,Spacious room with king bed and premium amenities,250,3
Deluxe Suite,Larger suite with separate seating area and enhanced features,350,4
Executive King,Business-class room with work desk and premium internet,300,2
Executive Suite,Spacious suite ideal for business travelers and extended stays,450,3
Presidential Suite,Ultra-luxurious suite with premium services and amenities,800,4
Family Suite,Perfect for families with connecting rooms and kid-friendly amenities,400,5
Honeymoon Suite,Romantic suite with champagne service and special touches,550,2
Accessible King,ADA compliant room with king bed and accessible features,160,2
Pool View King,Room with direct pool access and beautiful views,280,2
Ocean View Suite,Suite with stunning ocean views and balcony,600,3
City View King,Room with panoramic city skyline views,320,2
Garden View Twin,Peaceful room overlooking hotel gardens,180,2
Corner Suite,Bright corner suite with extra windows and space,480,3
Penthouse Suite,Top-floor luxury with private terrace and premium services,1200,4
Business Twin,Two twin beds with enhanced work facilities,220,2
Junior Suite,Compact suite with separate living area,380,3
Grand Deluxe,Extra large room with luxury bathroom and seating,420,3
Royal Suite,The ultimate in luxury with butler service and premium amenities,1500,4
