name,description
Front Office,Handles guest check-in
Housekeeping,Responsible for room cleaning
Food & Beverage,Manages restaurants
Sales & Marketing,Handles promotions
Human Resources,Manages recruitment
Finance & Accounting,Handles financial operations
Engineering & Maintenance,Responsible for building maintenance
Security,Ensures guest safety
Spa & Wellness,Manages spa services
Events & Conferences,Handles meeting rooms
Revenue Management,Optimizes room pricing
Guest Relations,Manages guest feedback
Procurement,Handles purchasing
IT Department,Manages technology infrastructure
Quality Assurance,Ensures service standards
Environmental Services,Manages sustainability initiatives and environmental compliance
Transportation,Handles valet parking
Risk Management,Manages insurance
Corporate Communications,Handles public relations
Learning & Development,Manages staff training programs and career development initiatives
